LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime
2455554,626862,False,38.39290934,-122.4918453,1007.0,1206.0,381.0,2,199.0,626.0
162894,338485,False,38.38482739,-122.4835867,543.0,868.0,175.0,3,325.0,368.0
1004589,8234,False,38.3876222,-122.4612898,-1.0,-1.0,-1.0,1,497.0,-1.0
367911,27824,False,38.37303987,-122.462936,1022.0,1773.0,375.0,3,751.0,647.0
50954,121251,False,38.36838817,-122.4667012,478.0,1099.0,162.0,3,621.0,316.0
656986,52558,False,38.36967268,-122.464206,1120.0,1478.0,104.0,3,358.0,1016.0
653004,1218958,True,38.37747633,-122.5080744,407.0,1127.0,134.0,3,720.0,273.0
2517181,175053,False,38.38523769,-122.5086302,437.0,1206.0,108.0,3,769.0,329.0
218468,187214,True,38.37887516,-122.5181005,624.0,1093.0,111.0,21,469.0,513.0
404436,219601,True,38.37782703,-122.5178628,1119.0,1262.0,62.0,20,143.0,1057.0
1261607,1050374,False,38.37793859,-122.5151764,685.0,1365.0,106.0,20,680.0,579.0
275961,836353,True,38.37537452,-122.5163095,697.0,763.0,98.0,14,66.0,599.0
1270695,476764,False,38.37191622,-122.5252153,-1.0,-1.0,715.0,26,735.0,-1.0
694378,893074,True,38.38616234,-122.5223751,529.0,777.0,69.0,17,248.0,460.0
376569,150000,True,38.38511735,-122.5255844,-1.0,-1.0,476.0,16,122.0,-1.0
1044358,1355890,False,38.37224192,-122.532551,762.0,888.0,87.0,23,126.0,675.0
679515,489133,True,38.38534342,-122.5191573,452.0,647.0,70.0,19,195.0,382.0
390429,828293,False,38.3852019,-122.5184616,727.0,1014.0,139.0,19,287.0,588.0
535910,567635,True,38.38420488,-122.5189245,533.0,1116.0,61.0,19,583.0,472.0
414922,626979,True,38.38454965,-122.5181214,879.0,1399.0,138.0,19,520.0,741.0
20387,123835,True,38.38322976,-122.5206974,561.0,1017.0,50.0,20,456.0,511.0
543273,533704,True,38.38276965,-122.5205452,268.0,736.0,57.0,20,468.0,211.0
656753,632028,True,38.38305268,-122.5197396,705.0,862.0,20.0,20,157.0,685.0
523151,818055,False,38.3823081,-122.5194074,787.0,1080.0,121.0,20,293.0,666.0
20795,58211,True,38.38215502,-122.5199388,749.0,1036.0,51.0,20,287.0,698.0
21919,259894,True,38.38194741,-122.5204813,442.0,701.0,10.0,20,259.0,432.0
417634,564540,True,38.3816882,-122.5170432,594.0,870.0,34.0,19,276.0,560.0
42631,214236,False,38.38081352,-122.5191272,273.0,591.0,95.0,20,318.0,178.0
84019,718467,True,38.38261688,-122.5178183,729.0,1060.0,192.0,20,331.0,537.0
417634,525734,True,38.38269675,-122.5172508,371.0,559.0,43.0,19,188.0,328.0
440640,15300,False,38.3851826,-122.4906129,575.0,1751.0,43.0,4,1176.0,532.0
755266,632491,False,38.38413793,-122.4896241,-1.0,-1.0,301.0,3,1343.0,-1.0
267969,240567,False,38.37432988,-122.5314157,749.0,856.0,76.0,9,107.0,673.0
421912,544834,False,38.37709391,-122.5296117,549.0,804.0,130.0,4,255.0,419.0
995000,700000,False,38.35820774,-122.5307764,1163.0,1365.0,141.0,23,202.0,1022.0
1632000,1428000,False,38.36205238,-122.5315417,399.0,1025.0,89.0,28,626.0,310.0
33291,34641,True,38.35958148,-122.5347416,-1.0,-1.0,26.0,24,274.0,-1.0
1187957,1377335,True,38.36119309,-122.5351603,507.0,730.0,88.0,23,223.0,419.0
144828,225038,False,38.34623042,-122.5106214,260.0,819.0,39.0,1,559.0,221.0
1193086,215491,False,38.36323426,-122.5006869,714.0,1408.0,35.0,2,694.0,679.0
219374,124151,False,38.36261688,-122.5048233,-1.0,-1.0,67.0,2,251.0,-1.0
234565,424301,False,38.36836328,-122.5280861,599.0,973.0,81.0,28,374.0,518.0
265200,10200,False,38.36763887,-122.5303931,-1.0,-1.0,-1.0,28,653.0,-1.0
346064,137190,False,38.36708597,-122.5133762,893.0,1169.0,395.0,1,276.0,498.0
331406,557907,False,38.36497973,-122.5270431,-1.0,-1.0,156.0,29,273.0,-1.0
