BuildingID,NoStories,FlArea,NoUnits,ConstYear,BuildVal,PermitDesc,PermitType,DateEvent,DateApplied,CheckDate,DateRecvd,DateFinaled,DateExpired,TimetoApply,RepairTime,TimetoFinal,,
766,0,1337,1,1962,520000,NULL,NULL,8/24/14,9/18/14,TRUE,39736,9/17/15,NULL,25,364,389,,
770,0,1144,1,1961,259655,CAP AND SEAL DAMAGED CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,11/14/14,9/14/15,NULL,12,374,386,,
774,0,1261,1,1960,330274,REBUILD MASONRY CHIMNEY W/WOOD FRAME INSTALL GAS INSERT L390,FIREPLACE,8/24/14,39947,FALSE,11/17/14,11/26/14,NULL,12,82,94,,
787,0,1859,1,1978,288431,REMOVE DAMAGED CHIMNEY & FIREBOX; RETRO FIT 2ND CHIMNEY AND,FIREPLACE,8/24/14,39947,FALSE,3/24/15,4/28/15,NULL,12,235,247,,
788,0,9147.6,NULL,1978,185878,REMOVE DAMAGED CHIMNEY & FIREBOX; RETRO FIT 2ND CHIMNEY AND,NULL,8/24/14,9/25/14,TRUE,3/24/15,4/28/15,NULL,32,215,247,,
789,0,9147.6,NULL,1978,185878,REMOVE DAMAGED CHIMNEY & FIREBOX; RETRO FIT 2ND CHIMNEY AND,NULL,8/24/14,9/25/14,TRUE,3/24/15,4/28/15,NULL,32,215,247,,
792,0,2128,1,1978,210772,RES- CHIMNEY RETROFIT/SHOULDERS UP/FACTORY FLUE,FIREPLACE,8/24/14,39947,FALSE,40100,10/17/14,NULL,12,42,54,,
794,0,2128,1,1978,214280,REMOVE CHIMNEY TO SHOULDER FRAME UP AND STUCCO,FIREPLACE,8/24/14,39947,FALSE,40070,4/17/15,NULL,12,224,236,,
801,0,1422,1,1967,482320,REBUILD DAMAGED CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,2/23/15,4/16/15,NULL,12,223,235,,
831,0,1300,1,1935,74172,FOUNDATION REPAIR AND INSTALL CONDUIT TO DUPLEX,FOUNDATION,8/24/14,39947,FALSE,39917,1/14/15,NULL,12,131,143,,
850,0,1000,1,1890,668513,FOUNDATION REPLACEMENT,FOUNDATION,8/24/14,9/19/14,TRUE,38153,8/24/15,NULL,26,339,365,,
855,0,2128,1,1980,213660,REPLACE DAMAGED ROOF TILES,MINOR BUILDING,8/24/14,39947,FALSE,11/18/14,1/22/15,NULL,12,139,151,,
856,0,1859,1,1980,448024,TEARDOWN DAMAGED F/P & REBUILD WITH EPA GAS INSERT,FIREPLACE,8/24/14,9/25/14,TRUE,5/21/15,7/20/15,NULL,32,298,330,,
864,0,1544,1,1957,379592,REPLACE CHIMNEY AT ROOF; RETRO FIT W/ WOOD CHASE, METAL FLUE,8/24/14,FIREPLACE,TRUE,39947,10/22/14,NULL,,,59,,
892,0,7744,1,1890,1900000,REPAIR AND REATTACH SIDING PER DETAILS,MINOR BUILDING,8/24/14,40100,FALSE,40251,10/30/14,NULL,17,50,67,,
894,0,1617,1,1918,437142,OVERLAY DAMAGED PLASTER,MINOR BUILDING,8/24/14,9/25/14,TRUE,39947,11/19/14,NULL,32,55,87,,
