LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
14781,91005,False,38.49726966,-122.7413554,-1.0,-1.0,16.0,309,218.0,-1.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
245662,114642,True,38.4945631,-122.7423475,651.0,1200.0,124.0,281,549.0,527.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
16616,71147,False,38.49483803,-122.7423401,649.0,974.0,266.0,288,325.0,383.0,1,1.1582019848219498,1960,Post1940,RES1,2,False,1700,Average,208675.0
80445,170964,False,38.49509979,-122.7423681,649.0,974.0,266.0,290,325.0,383.0,1,1.1582019848219498,1950,Post1940,RES1,1,True,1275,Custom,220476.1875
134722,150573,True,38.49575881,-122.742589,345.0,624.0,77.0,301,279.0,268.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
215178,548135,False,38.49346336,-122.7423772,389.0,741.0,39.0,240,352.0,350.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Average,208675.0
150458,241658,True,38.4964349,-122.7444891,386.0,700.0,116.0,306,314.0,270.0,1,1.1582019848219498,1950,Post1940,RES1,1,True,1275,Custom,220476.1875
15453,170770,True,38.4961926,-122.7444869,472.0,951.0,67.0,303,479.0,405.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
50205,250572,False,38.49580105,-122.7442299,-1.0,-1.0,52.0,298,287.0,-1.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Custom,278715.0
35210,80217,True,38.49559885,-122.7440543,644.0,1231.0,41.0,296,587.0,603.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
298864,627615,False,38.49543066,-122.7438587,410.0,623.0,33.0,294,213.0,377.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
164773,262622,True,38.49534754,-122.7435715,486.0,713.0,146.0,294,227.0,340.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
153864,181090,False,38.49556668,-122.7459279,301.0,619.0,55.0,287,318.0,246.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
275000,895000,False,38.4961234,-122.7452337,480.0,762.0,-1.0,297,282.0,-1.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
224400,581400,True,38.49520729,-122.7455053,445.0,776.0,48.0,288,331.0,397.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
14529,64661,True,38.49537515,-122.7452903,576.0,939.0,135.0,289,363.0,441.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
317156,549317,True,38.4955413,-122.7450737,310.0,628.0,52.0,289,318.0,258.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
153864,398991,False,38.49571308,-122.7448564,280.0,598.0,39.0,292,318.0,241.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
53354,168922,True,38.49541193,-122.7446264,717.0,1056.0,320.0,292,339.0,397.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
106090,265346,True,38.49515697,-122.7444052,272.0,589.0,36.0,289,317.0,236.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
15846,127473,True,38.49494553,-122.7441739,480.0,815.0,49.0,288,335.0,431.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
315235,558826,True,38.49482076,-122.7439161,372.0,485.0,-1.0,287,113.0,-1.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
16158,109330,True,38.49493142,-122.7433278,344.0,616.0,43.0,288,272.0,301.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
210412,458216,True,38.49503745,-122.7430828,268.0,463.0,36.0,290,195.0,232.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Custom,278715.0
306000,624240,False,38.49518611,-122.7428535,740.0,1098.0,264.0,290,358.0,476.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Custom,271167.0
212354,85607,True,38.49546221,-122.7427341,461.0,674.0,145.0,296,213.0,316.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Custom,271167.0
249154,572426,False,38.49508801,-122.7450353,331.0,493.0,6.0,287,162.0,325.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Custom,271167.0
194777,142800,False,38.49787771,-122.7456027,134.0,1102.0,61.0,300,968.0,73.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
261926,418107,True,38.49771847,-122.7459562,949.0,1266.0,208.0,299,317.0,741.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Average,208675.0
