LandValue,ImprovementValue,HOEX,Latitude,Longitude,TimetoApply,RepairTime,TimetoFinal,ConstructionDelay,RepairTime.1,Neighbours
57921.0,166723.0,True,39.779549,-121.584034,279,-1.0,-1.0,-1.0,-1.0,115
12689.0,125223.0,True,39.761735,-121.63512,279,279.0,558.0,-1.0,-1.0,103
151787.0,295445.0,True,39.765147,-121.58299,279,394.0,673.0,-1.0,-1.0,123
58090.0,209480.0,False,39.743941,-121.616179,279,496.0,775.0,-1.0,-1.0,45
60359.0,91073.0,False,39.773824,-121.580151,279,462.0,741.0,-1.0,-1.0,103
107219.0,262688.0,True,39.746192,-121.628645,280,203.0,483.0,-1.0,-1.0,91
73681.0,146499.0,True,39.769574,-121.627077,280,326.0,606.0,-1.0,-1.0,133
51695.0,212434.0,True,39.763893,-121.592665,280,475.0,755.0,-1.0,-1.0,136
36069.0,331500.0,False,39.784536,-121.603412,280,658.0,938.0,-1.0,-1.0,56
46411.0,129454.0,True,39.733548,-121.635856,281,418.0,699.0,-1.0,-1.0,63
62502.0,241608.0,True,39.775832,-121.619952,281,301.0,582.0,-1.0,-1.0,116
54324.0,121291.0,True,39.770746,-121.61613,281,164.0,445.0,-1.0,-1.0,117
81879.0,245949.0,False,39.752322,-121.592837,281,476.0,757.0,-1.0,-1.0,149
55672.0,158427.0,False,39.734195,-121.635007,281,308.0,589.0,-1.0,-1.0,66
80032.0,226139.0,True,39.792497,-121.582819,281,412.0,693.0,-1.0,-1.0,91
115890.0,87567.0,True,39.780488,-121.598954,281,256.0,537.0,-1.0,-1.0,107
78084.0,191522.0,True,39.743762,-121.593186,281,413.0,694.0,-1.0,-1.0,122
76554.0,166880.0,True,39.778682,-121.598836,284,347.0,631.0,-1.0,-1.0,127
155941.0,101617.0,True,39.736799,-121.593272,284,-1.0,-1.0,-1.0,-1.0,57
112103.0,147354.0,True,39.772946,-121.583288,284,379.0,663.0,-1.0,-1.0,124
117941.0,232655.0,False,39.729498,-121.652331,285,304.0,589.0,-1.0,-1.0,46
173840.0,215986.0,True,39.742309,-121.600297,285,267.0,552.0,-1.0,-1.0,75
113848.0,403917.0,True,39.745301,-121.571793,285,337.0,622.0,-1.0,-1.0,59
49905.0,328379.0,True,39.783384,-121.594908,286,251.0,537.0,-1.0,-1.0,89
48037.0,184820.0,False,39.761523,-121.62047,286,233.0,519.0,-1.0,-1.0,57
101858.0,272400.0,False,39.749746,-121.635326,286,274.0,560.0,-1.0,-1.0,80
55179.0,568939.0,False,39.753826,-121.605592,286,699.0,985.0,-1.0,-1.0,66
70721.0,139968.0,False,39.744594,-121.597115,287,484.0,771.0,-1.0,-1.0,107
138868.0,167408.0,False,39.771331,-121.603422,287,160.0,447.0,-1.0,-1.0,112
55179.0,211156.0,True,39.731238,-121.634149,287,335.0,622.0,-1.0,-1.0,51
13200.0,11551.0,True,39.77213,-121.579262,288,-1.0,-1.0,-1.0,-1.0,89
87041.0,165649.0,True,39.77183,-121.603983,288,164.0,452.0,-1.0,-1.0,112
78084.0,242683.0,True,39.761843,-121.58466,288,643.0,931.0,-1.0,-1.0,122
